Title,Original U.S. theatrical release date[rls 1],Other Theatrical Release Date,Animation studio[st 2],CoCredit,Released By,Film Type,Live-action / Animation hybrid,"Not produced by Disney, but released under its label.",US Release Exceptions,Released under the Touchstone Pictures label,Released by Disney outside North America,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,Release Note
The Black Cauldron,7/26/1985,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
The Great Mouse Detective,7/2/1986,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
Who Framed Roger Rabbit,6/22/1988,,Amblin Entertainment, Walt Disney Pictures,Touchstone Pictures,Animation,Live-action / Animation hybrid,,,Released under the Touchstone Pictures label,,,
Oliver & Company,11/18/1988,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
The Little Mermaid,11/17/1989,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
DuckTales the Movie: Treasure of the Lost Lamp,8/3/1990,,Disneytoon Studios (1990–2015), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
The Rescuers Down Under,11/16/1990,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
Beauty and the Beast,11/22/1991,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
Aladdin,11/25/1992,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
The Nightmare Before Christmas,10/29/1993,,Skellington Productions, Walt Disney Pictures,Touchstone Pictures,Animation,,,,Released under the Touchstone Pictures label,,,
The Lion King,6/24/1994,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
A Goofy Movie,4/7/1995,,Disneytoon Studios (1990–2015), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
Pocahontas,6/23/1995,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
Toy Story,11/22/1995,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Buena Vista Distribution ,Animation,,,,,,,
