,nconst,director,primaryName,birthYear,tconst,category
453,nm0001112,director,Andrew Davis,1946,tt0115857,director
454,nm0001112,director,Andrew Davis,1946,tt0120787,director
455,nm0001112,director,Andrew Davis,1946,tt0233469,director
456,nm0001112,director,Andrew Davis,1946,tt0311289,director
457,nm0001112,director,Andrew Davis,1946,tt0406816,director
458,nm0001112,director,Andrew Davis,1946,tt0475511,director
459,nm0001112,director,Andrew Davis,1946,tt0617845,director
460,nm0001112,director,Andrew Davis,1946,tt10837702,director
461,nm0001112,director,Andrew Davis,1946,tt12019292,director
462,nm0001112,director,Andrew Davis,1946,tt15566366,director
463,nm0001112,director,Andrew Davis,1946,tt15566506,director
464,nm0001112,director,Andrew Davis,1946,tt18264464,director
465,nm0001112,director,Andrew Davis,1946,tt3735542,director
466,nm0001345,director,Jim Henson,1936,tt0068613,director
467,nm0001345,director,Jim Henson,1936,tt0075988,director
468,nm0001345,director,Jim Henson,1936,tt0091369,director
469,nm0001345,director,Jim Henson,1936,tt0092046,director
470,nm0001345,director,Jim Henson,1936,tt0255132,director
471,nm0001345,director,Jim Henson,1936,tt0290655,director
472,nm0001345,director,Jim Henson,1936,tt0291118,director
473,nm0001345,director,Jim Henson,1936,tt0296626,director
474,nm0001345,director,Jim Henson,1936,tt0395739,director
475,nm0001345,director,Jim Henson,1936,tt0454508,director
476,nm0001345,director,Jim Henson,1936,tt0469783,director
477,nm0001345,director,Jim Henson,1936,tt0615530,director
478,nm0001345,director,Jim Henson,1936,tt0710990,director
479,nm0001345,director,Jim Henson,1936,tt0710992,director
480,nm0001345,director,Jim Henson,1936,tt0778233,director
481,nm0001345,director,Jim Henson,1936,tt0778238,director
482,nm0001345,director,Jim Henson,1936,tt0778241,director
483,nm0001345,director,Jim Henson,1936,tt0779373,director
484,nm0001345,director,Jim Henson,1936,tt0779377,director
485,nm0001345,director,Jim Henson,1936,tt0779383,director
