,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
269,nm0000318,director,Tim Burton,1958.0,tt0133152,director,Planet of the Apes,119.0,"Action,Adventure,Sci-Fi",PG-13,2001-07-27,2001.0,7.0,27.0,Friday,100000000.0,362211740.0,2.6221174,5.7,217332.0,both,43.0
270,nm0000318,director,Tim Burton,1958.0,tt0162661,director,Sleepy Hollow,105.0,"Fantasy,Horror,Mystery",R,1999-11-19,1999.0,11.0,19.0,Friday,100000000.0,206071502.0,1.06071502,7.3,350731.0,both,41.0
273,nm0000318,director,Tim Burton,1958.0,tt0319061,director,Big Fish,125.0,"Adventure,Drama,Fantasy",PG-13,2004-01-09,2003.0,1.0,9.0,Friday,70000000.0,123218424.0,0.7602632,8.0,433960.0,both,45.0
274,nm0000318,director,Tim Burton,1958.0,tt0367594,director,Charlie and the Chocolate Factory,115.0,"Adventure,Comedy,Family",PG,2005-07-15,2005.0,7.0,15.0,Friday,150000000.0,474968763.0,2.16645842,6.7,462057.0,both,47.0
276,nm0000318,director,Tim Burton,1958.0,tt0408236,director,Sweeney Todd: The Demon Barber of Fleet Street,116.0,"Drama,Horror,Musical",R,2007-12-21,2007.0,12.0,21.0,Friday,50000000.0,153383627.0,2.06767254,7.4,360126.0,both,49.0
279,nm0000318,director,Tim Burton,1958.0,tt1014759,director,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",PG,2010-03-05,2010.0,3.0,5.0,Friday,200000000.0,1025468216.0,4.12734108,6.4,404443.0,both,52.0
280,nm0000318,director,Tim Burton,1958.0,tt1077368,director,Dark Shadows,113.0,"Comedy,Fantasy,Horror",PG-13,2012-05-11,2012.0,5.0,11.0,Friday,150000000.0,245527149.0,0.63684766,6.2,261389.0,both,54.0
281,nm0000318,director,Tim Burton,1958.0,tt1126590,director,Big Eyes,106.0,"Biography,Crime,Drama",PG-13,2014-12-25,2014.0,12.0,25.0,Thursday,10000000.0,29253166.0,1.9253166,7.0,91221.0,both,56.0
282,nm0000318,director,Tim Burton,1958.0,tt1142977,director,Frankenweenie,87.0,"Animation,Comedy,Drama",PG,2012-10-05,2012.0,10.0,5.0,Friday,39000000.0,81493846.0,1.0895857948717949,6.9,105006.0,both,54.0
291,nm0000318,director,Tim Burton,1958.0,tt1935859,director,Miss Peregrine's Home for Peculiar Children,127.0,"Adventure,Drama,Family",PG-13,2016-09-30,2016.0,9.0,30.0,Friday,110000000.0,296482446.0,1.6952949636363637,6.7,167563.0,both,58.0
