US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
12/27/2017,,Expedition China,"Netflix Original Documentaries, and Brian Leith Productions",True-Life Adventures / Disneynature documentary film,,,,,
3/9/2018,,A Wrinkle in Time,Whitaker Entertainment,Live Action,,,,,
6/15/2018,,Incredibles 2,Pixar Animation Studios,Animated,,,,,
8/3/2018,,Christopher Robin,2DUX²,Combines animation and live action,,,,,
11/2/2018,,The Nutcracker and the Four Realms,The Mark Gordon Company,Live Action,,,,,
11/21/2018,,Ralph Breaks the Internet,Walt Disney Animation Studios,Animated,,,,,
12/19/2018,,Mary Poppins Returns,Lucamar Productions and Marc Platt Productions,Combines animation and live action,,,,,
3/29/2019,,Dumbo,"Tim Burton Productions, Infinite Detective Productions, and Secret Machine Entertainment",Live Action,,,,,
4/17/2019,,Penguins,Silverback Films,True-Life Adventures / Disneynature documentary film,,,,,
5/24/2019,,Aladdin,Rideback,Combines animation and live action,,,,,
